fecha_hora,distancia_cm,estado
2026-05-29 06:35:48,11.0,OCUPADO
2026-05-29 06:35:50,10.6,OCUPADO
2026-05-29 06:35:52,11.0,OCUPADO
2026-05-29 06:35:54,11.9,OCUPADO
2026-05-29 06:35:56,11.0,OCUPADO
2026-05-29 06:35:58,11.0,OCUPADO
2026-05-29 06:36:00,19.3,OCUPADO
2026-05-29 06:36:02,19.7,OCUPADO
2026-05-29 06:36:04,19.7,OCUPADO
2026-05-29 06:36:06,19.7,OCUPADO
2026-05-29 06:36:08,20.2,CERCA
2026-05-29 06:36:10,20.2,CERCA
2026-05-29 06:36:12,33.1,CERCA
2026-05-29 06:36:14,33.6,CERCA
2026-05-29 06:36:16,34.0,CERCA
2026-05-29 06:36:24,76.6,LIBRE
2026-05-29 06:36:26,75.6,LIBRE
2026-05-29 06:36:30,80.1,LIBRE
2026-05-29 06:36:36,82.5,LIBRE
2026-05-29 06:36:38,80.4,LIBRE
2026-05-29 06:36:40,49.3,CERCA
2026-05-29 06:36:44,42.7,CERCA
2026-05-29 06:36:46,43.2,CERCA
2026-05-29 06:36:48,31.3,CERCA
2026-05-29 06:36:50,32.1,CERCA
2026-05-29 06:36:52,40.5,CERCA
2026-05-29 06:36:56,44.4,CERCA
2026-05-29 06:36:58,42.7,CERCA
2026-05-29 06:37:00,23.1,CERCA
2026-05-29 06:37:02,21.8,CERCA
2026-05-29 06:37:04,21.8,CERCA
2026-05-29 06:37:08,40.9,CERCA
2026-05-29 06:37:10,37.1,CERCA
2026-05-29 06:37:12,22.1,CERCA
2026-05-29 06:37:14,22.1,CERCA
2026-05-29 06:37:16,22.1,CERCA
2026-05-29 06:37:18,22.6,CERCA
